Time,bcglpid01,bcglpiw01,bcocpl01,bcocpl02,bcocpl41,bcocpl42,bcpxkv01,bcpxkv02,bcpxkv03,bcrepo01
2022-01-01T23:40:00+07:00,0,0,0,0,0,0,0.0025,0,0,0.035
2022-01-02T00:00:00+07:00,0,0,0,0,0,0,0.0025,0.005,0,0
2022-01-02T00:20:00+07:00,0.005,0,0,0,0,0,0.015,0.0775,0,0
2022-01-02T00:40:00+07:00,0,0,0,0,0,0,0.01,0.015,0.025,0
2022-01-02T01:00:00+07:00,0,0,0,0,0,0,0,0,0.0225,0.025
2022-01-02T01:20:00+07:00,0,0,0.005,0,0,0,0.1075,0,0,0.035
2022-01-02T01:40:00+07:00,0,0,0,0,0,0,0.0075,0,0,0
2022-01-02T02:00:00+07:00,0,0,0,0,0,0,0.0075,0.01,0.0125,0.01
2022-01-02T02:20:00+07:00,0,0,0,0,0,0,0,0.0175,0,0.045
2022-01-02T02:40:00+07:00,0.008333333,0,0.005,0,0,0,0,0,0,0.015
2022-01-02T03:00:00+07:00,0,0,0,0,0,0,0.0025,0,0.0025,0.005
2022-01-02T03:20:00+07:00,0,0,0.015,0,0,0,0.025,0,0,0
2022-01-02T03:40:00+07:00,0,0,0.005,0,0,0,0.0625,0,0.0475,0.08
2022-01-02T04:00:00+07:00,0,0,0,0,0,0,0.0025,0.0025,0.005,0
2022-01-02T04:20:00+07:00,0,0,0,0,0,0,0.0275,0.0025,0.045,0.025
2022-01-02T04:40:00+07:00,0,0.045,0,0,0,0,0,0.0025,0.0375,0
2022-01-02T05:00:00+07:00,0,0,0,0,0,0,0,0,0,0.03
2022-01-02T05:20:00+07:00,0,0,0,0.005,0.075,0,0,0.0175,0.03,0
2022-01-02T05:40:00+07:00,0,0,0,0,0,0,0.005,0,0.05,0
2022-01-02T06:00:00+07:00,0,0,0,0,0.05,0,0,0,0,0.01
2022-01-02T06:20:00+07:00,0,0,0,0,0,0,0,0,0,0.02
2022-01-02T06:40:00+07:00,0,0,0.025,0,0,0,0.005,0,0,0.01
2022-01-02T07:00:00+07:00,0,0,0.005,0,0,0,0,0,0,0.01
2022-01-02T07:20:00+07:00,0,0,0,0,0.04,0,0,0.005,0.015,0.075
2022-01-02T07:40:00+07:00,0,0,0.005,0,0,0,0.0025,0,0,0
2022-01-02T08:00:00+07:00,0,0,0.005,0,0,0,0,0.0075,0,0
2022-01-02T08:20:00+07:00,0,0,0.03,0,0,0,0.005,0.0025,0,0.045
2022-01-02T08:40:00+07:00,0,0,0,0,0,0,0.035,0.0725,0,0.045
2022-01-02T09:00:00+07:00,0,0,0,0,0,0,0,0,0,0
2022-01-02T09:20:00+07:00,0,0,0,0,0.025,0,0,0,0,0.005
2022-01-02T09:40:00+07:00,0,0.005,0.035,0,0,0,0.035,0.0025,0.025,0.01
2022-01-02T10:00:00+07:00,0,0,0,0,0,0,0.04,0,0,0
2022-01-02T10:20:00+07:00,0,0,0,0,0,0,0.005,0,0,0.025
2022-01-02T10:40:00+07:00,0,0,0,0,0,0,0,0,0,0.02
2022-01-02T11:00:00+07:00,0,0,0,0,0,0,0.015,0.03,0.01,0
2022-01-02T11:20:00+07:00,0.005,0,0,0,0,0,0,0,0.005,0.005
2022-01-02T11:40:00+07:00,0,0.01,0,0,0,0,0.0225,0.005,0.0425,0.02
2022-01-02T12:00:00+07:00,0,0,0.01,0,0.005,0,0,0,0.005,0.005
2022-01-02T12:20:00+07:00,0,0,0,0,0,0,0.01,0,0.0025,0
2022-01-02T12:40:00+07:00,0,0.04,0,0,0,0,0.0125,0.035,0.07,0.015
2022-01-02T13:00:00+07:00,0,0,0,0,0.02,0,0.0125,0,0,0.005
2022-01-02T13:20:00+07:00,0,0,0.02,0,0,0,0,0,0,0.06
2022-01-02T13:40:00+07:00,0,0,0,0,0,0,0.0175,0,0.04,0.01
2022-01-02T14:00:00+07:00,0,0,0,0,0,0,0,0,0.0525,0.01
2022-01-02T14:20:00+07:00,0,0,0.01,0,0,0,0.005,0.0025,0.005,0
2022-01-02T14:40:00+07:00,0,0,0,0,0,0,0,0,0.0125,0
2022-01-02T15:00:00+07:00,0,0,0,0,0,0,0,0,0,0
2022-01-02T15:20:00+07:00,0,0,0,0,0,0,0.0025,0,0.02,0.005
2022-01-02T15:40:00+07:00,0,0.01,0,0,0,0,0.0125,0.005,0.005,0
2022-01-02T16:00:00+07:00,0,0,0.005,0,0,0,0,0.015,0,0
2022-01-02T16:20:00+07:00,0,0,0,0,0.02,0,0,0.0075,0.03,0
2022-01-02T16:40:00+07:00,0,0.01,0.03,0,0,0,0.0075,0.0025,0.015,0
2022-01-02T17:00:00+07:00,0,0,0,0,0,0,0.0175,0.04,0.0075,0
2022-01-02T17:20:00+07:00,0,0,0.005,0,0,0,0.0075,0,0,0
2022-01-02T17:40:00+07:00,0,0,0.015,0,0.02,0,0,0,0,0
2022-01-02T18:00:00+07:00,0,0,0.04,0,0.02,0,0.0375,0,0.02,0.02
2022-01-02T18:20:00+07:00,0,0,0.01,0,0,0,0.015,0.0025,0.01,0.005
2022-01-02T18:40:00+07:00,0,0,0,0,0,0,0,0.0075,0.01,0.05
2022-01-02T19:00:00+07:00,0,0,0,0,0,0,0.015,0,0,0.01
2022-01-02T19:20:00+07:00,0,0,0,0,0,0,0.0175,0,0.0025,0
2022-01-02T20:00:00+07:00,0,0,0.025,0,0,0,0,0.0075,0,0.015
2022-01-02T20:20:00+07:00,0.001666667,0,0,0,0,0,0.0025,0.015,0.01,0
2022-01-02T20:40:00+07:00,0,0,0,0,0,0,0,0,0.0075,0
2022-01-02T21:00:00+07:00,0,0,0,0,0.005,0,0,0,0.035,0
2022-01-02T21:20:00+07:00,0,0,0,0,0,0,0.0075,0.0025,0,0.07
2022-01-02T21:40:00+07:00,0,0.055,0,0,0,0,0.01,0,0.01,0.05
2022-01-02T22:00:00+07:00,0,0,0,0.01,0,0.015,0.015,0,0.03,0
2022-01-02T22:20:00+07:00,0,0,0,0,0,0,0.0375,0,0.025,0
2022-01-02T22:40:00+07:00,0,0,0,0,0.025,0,0.005,0.0125,0,0
2022-01-02T23:00:00+07:00,0,0,0,0.1,0.005,0,0,0,0,0.005
2022-01-02T23:20:00+07:00,0,0,0.005,0,0,0,0.1325,0,0.0375,0.045
2022-01-02T23:40:00+07:00,0,0.035,0,0,0.01,0,0,0,0.005,0.045
2022-01-03T00:00:00+07:00,0,0,0,0,0.04,0,0.0125,0.025,0,0
2022-01-03T00:20:00+07:00,0,0,0.01,0,0,0,0,0,0.02,0.005
2022-01-03T00:40:00+07:00,0,0,0,0,0.025,0,0,0,0.005,0.02
2022-01-03T01:00:00+07:00,0.02,0,0,0,0,0.155,0.0025,0.0025,0,0.005
2022-01-03T01:20:00+07:00,0,0,0,0,0,0,0.0275,0.0525,0,0
2022-01-03T01:40:00+07:00,0,0,0.005,0,0,0,0,0,0.0075,0
2022-01-03T02:00:00+07:00,0,0,0.01,0,0.065,0,0.0075,0,0.0025,0
2022-01-03T02:20:00+07:00,0,0,0.005,0,0,0,0.0625,0,0,0.06
2022-01-03T02:40:00+07:00,0,0,0,0,0,0,0.0125,0.005,0.01,0.01
2022-01-03T03:00:00+07:00,0,0,0.015,0,0,0,0,0.005,0,0.03
2022-01-03T03:20:00+07:00,0,0.02,0.035,0,0.015,0,0.0125,0,0,0.29
2022-01-03T03:40:00+07:00,0,0,0,0,0,0,0,0,0,0.005
2022-01-03T04:00:00+07:00,0,0.03,0,0,0,0,0,0.045,0.005,0.03
2022-01-03T04:20:00+07:00,0,0,0,0,0,0,0.04,0,0,0
2022-01-03T04:40:00+07:00,0,0,0.015,0,0,0,0,0.0025,0,0.04
2022-01-03T05:00:00+07:00,0,0,0,0,0.02,0,0.0025,0,0.0075,0
2022-01-03T05:20:00+07:00,0,0,0,0,0.02,0,0,0.005,0.04,0
2022-01-03T05:40:00+07:00,0,0,0,0,0,0,0,0.015,0.005,0.035
2022-01-03T06:00:00+07:00,0,0,0.015,0,0,0,0.005,0.025,0,0.005
2022-01-03T06:20:00+07:00,0,0,0.02,0,0,0,0.015,0,0.0475,0
